"","ID2003_d","year","Area2003","VCA","HKD","HKD_Sisa","HKDPer_2","HKDII","HKDII_tdklnjt","HKDII_tdkcair","YearI","YearII","YearIII","YearIV","Combined.Boundary","AreaForLoss","PxlKSNPLoss","PxlAllLoss","KSNP_AreaForLoss_Ha1","KSNP_AreaForLoss_Ha2","All_AreaForLoss_Ha","nonKSNP_AreaForLoss_Ha","year_vca","HKDI","did1","did2","did3","did4","did5","did6","dstrds","pop.2000","pop","weights_mah","weights_full","weights_gen","distID2003_d"
"1",1302010001,2014,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,1.25e-07,2,8938,0.170466125,0.18,804.42,804.24,1,0,1,2.5e+08,0,1,0,2.5e+08,2794.03949199472,55.6831505682023,63.3866356869061,1,1,1,"13020"
"2",1302010001,2012,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,6.25e-08,1,25299,0.0852330625,0.09,2276.91,2276.82,1,0,1,2.5e+08,0,1,0,2.5e+08,4005.08099313833,55.6831505682023,62.2310603312776,1,1,1,"13020"
"3",1302010001,2013,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,15603,0,0,1404.27,1404.27,1,0,1,2.5e+08,0,1,0,2.5e+08,3399.56024256652,55.6831505682023,62.8088480090919,1,1,1,"13020"
"4",1302010001,2009,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,34389,0,0,3095.01,3095.01,1,0,1,2.5e+08,0,1,0,2.5e+08,5821.64324485375,55.6831505682023,60.5237929804268,1,1,1,"13020"
"5",1302010001,2004,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,9379,0,0,844.11,844.11,1,0,1,2.5e+08,0,1,0,2.5e+08,8849.24699771277,55.6831505682023,57.7902501132704,1,1,1,"13020"
"6",1302010001,2016,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,8271,0,0,744.39,744.39,1,0,1,2.5e+08,0,1,0,2.5e+08,1582.9979908511,55.6831505682023,64.5695409778306,1,1,1,"13020"
"7",1302010001,2005,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,2457,0,0,221.13,221.13,1,0,1,2.5e+08,0,1,0,2.5e+08,8243.72624714097,55.6831505682023,58.3170249995374,1,1,1,"13020"
"8",1302010001,2002,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,2190,0,0,197.1,197.1,0,0,0,0,0,0,0,0,10060.2884988564,55.6831505682023,56.7367003407364,1,1,1,"13020"
"9",1302010001,2006,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,18102,0,0,1629.18,1629.18,1,0,1,2.5e+08,0,1,0,2.5e+08,7638.20549656916,55.6831505682023,58.8687169947598,1,1,1,"13020"
"10",1302010001,2010,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,21523,0,0,1937.07,1937.07,1,0,1,2.5e+08,0,1,0,2.5e+08,5216.12249428194,55.6831505682023,61.0754849756491,1,1,1,"13020"
"11",1302010001,2003,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,3.75e-07,6,3601,0.511398375,0.54,324.09,323.55,0,0,0,0,0,0,0,0,9454.76774828458,55.6831505682023,57.2634752270034,1,1,1,"13020"
"12",1302010001,2007,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,71303,0,0,6417.27,6417.27,1,0,1,2.5e+08,0,1,0,2.5e+08,7032.68474599736,55.6831505682023,59.4204089899821,1,1,1,"13020"
"13",1302010001,2015,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,4215,0,0,379.35,379.35,1,0,1,2.5e+08,0,1,0,2.5e+08,2188.51874142291,55.6831505682023,63.9644233647204,1,1,1,"13020"
"14",1302010001,2001,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,6.25e-08,1,10548,0.0852330625,0.09,949.32,949.23,0,0,0,0,0,0,0,0,10665.8092494282,55.6831505682023,56.2099254544694,1,1,1,"13020"
"15",1302010001,2011,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,43571,0,0,3921.39,3921.39,1,0,1,2.5e+08,0,1,0,2.5e+08,4610.60174371013,55.6831505682023,61.6532726534634,1,1,1,"13020"
"16",1302010001,2008,463743729,1,2.5e+08,0,1,1,0,0,0,0,0,1,0,0,0,39876,0,0,3588.84,3588.84,1,0,1,2.5e+08,0,1,0,2.5e+08,6427.16399542555,55.6831505682023,59.9721009852044,1,1,1,"13020"
"17",1302010002,2005,462709037,0,0,2.5e+08,0,0,0,0,0,0,0,0,0,0,0,5083,0,0,457.47,457.47,1,0,0,0,0,0,0,0,5643.90046046257,55.9429879021689,58.5892292043781,0.601190476190476,0.601190476190476,1,"13020"
"18",1302010002,2008,462709037,0,0,2.5e+08,0,0,0,0,0,0,0,0,0,2.375e-06,38,16376,3.238856375,3.42,1473.84,1470.42,1,0,0,0,0,0,0,0,5261.31493674011,55.9429879021689,60.252078112186,0.601190476190476,0.601190476190476,1,"13020"
